Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
JADEN THURBER,The Citadel,7,–,3,1,0,1,0,0,0,0,4,0
MATTHEW CLOHESSY,Catholic University,17,D,3,1,0,1,0,0,0,0,0,0
SEAN KINNALLY,Brown University,7,–,3,1,0,1,0,0,0,0,0,0
JACKSON PERLUT,College of William & Mary,"45, 97",T,3,1,0,1,0,0,0,0,2,0
WILLIAM SCHULER,College of William & Mary,78,C,3,1,0,1,0,0,0,0,2,0
DANIEL LEDDY,Sacred Heart University,10,RW,3,1,0,1,0,0,0,0,2,0
MICHAEL KELLEY,Anna Maria College,22,F,3,1,0,1,0,0,0,0,0,0
SHEA BONTEMPO,"Stevens Institute of Technology - MCHC , St. Thomas Aquinas College",17,–,3,1,0,1,0,0,1,0,6,0
Stevens Institute of Technology - MCHC,17,–,2,1,0,1,0,0,1,0,0,0,
St. Thomas Aquinas College,17,–,1,0,0,0,0,0,0,0,6,0,
ERIK THRONDSON,East Carolina University,28,D,3,1,0,1,0,0,0,0,0,0
RONALD BREGANTE III,Anna Maria College,37,D,3,1,0,1,1,0,0,0,0,0
ALEX DUREAU,St. Joseph's of Maine,24,–,3,1,0,1,1,0,0,0,11,0
ANDREAS MATEJKA,Hamilton College,14,–,3,1,0,1,0,0,0,0,2,0
J LOREL,Wake Forest University ACHA D2,19,–,3,1,0,1,0,0,0,0,0,0
PATRICK GOREN,St. Joseph's of Maine,59,–,3,1,0,1,0,0,0,0,4,0
MATTHEW GASKA,University of South Florida - FCHC,27,–,3,1,0,1,0,0,0,0,0,0
MASON CONTO,Bucknell University,10,F,3,1,0,1,0,0,0,0,0,0
ETHAN MAYES,Gannon University,0,D,3,1,0,1,0,0,0,0,4,0
RYAN PERRETTA,"St. Thomas Aquinas College , Stevens Institute of Technology - MCHC",6,D,3,1,0,1,0,0,0,0,0,0
St. Thomas Aquinas College,6,–,1,0,0,0,0,0,0,0,0,0,
Stevens Institute of Technology - MCHC,6,D,2,1,0,1,0,0,0,0,0,0,
THOMAS WOODS,LaSalle University,23,C,3,1,0,1,0,0,0,0,0,0
DECLAN SCOTT,Salisbury University,14,F,3,1,0,1,0,0,0,0,0,0
KRANDLE CONNER,East Carolina University,"27, 5",C,3,1,0,1,0,0,0,0,2,0
MATT MCGUIRK,Hofstra University,6,"D, F",4,1,0,1,1,0,0,0,11,0
DECLAN DMITRIEV,University of Maryland (D3),9,D,4,1,0,1,0,0,0,0,2,0
CHRISTIAN JONES,University of Maryland (D3),10,D,4,1,0,1,0,0,0,0,0,0
JORDAN KEARNEY,University of Maryland (D3),11,F,4,1,0,1,0,0,0,0,2,0
CHARLES YOUNG,University of Mississippi,"24, 26, 28",F,4,1,0,1,1,0,0,0,2,0
COLIN ERNENWEIN,University of Mississippi,18,F,4,1,0,1,0,0,0,0,2,0
AIDAN THORP,American University,"14, 15, 5",D,4,1,0,1,1,0,0,0,0,0
ANTHONY GERACE,Sacred Heart University,55,F,4,1,0,1,0,0,0,0,2,0
DIMITRI MIHALIOS,Sacred Heart University,57,C,4,1,0,1,0,0,0,0,2,0
JAKE HUTCHINSON,University of Florida (D3),11,D,4,1,0,1,0,0,0,0,4,0
KEVIN MORIARTY,Nichols College,"11, 9",D,4,1,0,1,1,0,0,0,4,0
CAM  TRAINER,UNC-Wilmington ACHA D2,8,–,4,1,0,1,0,0,0,0,0,0
TUCKER HORNE,East Carolina University,"69, 9",RW,4,1,0,1,0,0,0,0,2,0
BRENDAN O'DONNELL,Sacred Heart University,26,F,4,1,0,1,0,0,0,0,0,0
MICHAEL MERRELL,Canisius College,71,D,4,1,0,1,0,0,0,0,0,0
MATT ZANELOTTI,University At Albany,28,D,4,1,0,1,0,0,0,0,0,0
COLLIN LAGIOS,SUNY Geneseo,14,F,4,1,0,1,0,0,0,0,0,0
HANNAH HAMILTON,John Hopkins University,10,F,4,1,0,1,0,0,0,0,0,0
ALEXANDER POPAT,Cornell University,91,C,4,1,0,1,0,0,0,0,0,0
DECLAN BUSCHE,University of Binghamton,68,F,4,1,0,1,0,0,0,0,2,0
GABE SMITH,Paul Smiths College,18,"C, F",4,1,0,1,0,0,0,0,10,0
IVAN HUBKA,Cornell University,"33, 36",LW,5,1,0,1,0,0,0,0,0,0
GARRISON SWAN,The Citadel,19,RW,5,1,0,1,0,0,0,0,6,0
JOSH GRANT,University of Rochester,"12, 14",C,5,1,0,1,0,0,0,0,4,0
CAMERON ANDERSON,East Carolina University,20,D,5,1,0,1,0,0,0,0,0,0
MATT JURKOWSKI,"Canisius College (ACHA D1) , Canisius College",27,F,5,1,0,1,0,0,0,0,2,0
Canisius College (ACHA D1),27,–,1,0,0,0,0,0,0,0,2,0,
Canisius College,27,F,4,1,0,1,0,0,0,0,0,0,
JACK COULTER,Florida State University,29,C,5,1,0,1,0,0,0,0,6,0
